system_name,period_days
Kepler-1065,2.37030743
Kepler-1965,41.86869812
WASP-133,2.176423
Kepler-389,14.51143
HD 6718,2496.0
K2-184,16.9780102
WASP-148,34.524
Kepler-777,5.72812599
Kepler-56,21.40239
KIC 10001893,0.2197
Kepler-62,5.714932
HD 21520,25.1292
Kepler-1987,8.74292005
TOI-1758,20.705074685
TOI-6478,34.005019
Kepler-1338,0.935118057
Kepler-961,16.87727414
HD 35843,9.8991
Kepler-1265,6.49441289
Kepler-184,10.687576
Kepler-238,23.654
Kepler-410 A,17.833648
Kepler-85,25.216751
Kepler-130,87.517905
HIP 8541,1852.14387
Kepler-1886,24.2758007
Kepler-542,13.14497566
HD 62364,5138.0
TOI-1749,2.38839
Kepler-1634,374.876239
Kepler-99,4.60358
K2-393,10.413181
K2-5,10.93241
HAT-P-11,3361.0
Kepler-1416,1.49514952
Kepler-1701,169.134
Kepler-1578,1.450886907
KOI-55,0.342887
HD 45364,225.79
Kepler-1772,3.215090036
Kepler-1862,16.05730057
Kepler-990,9.91723428
Kepler-1537,1.444453798
Kepler-1593,174.509835
Kepler-328,34.921
Kepler-511,26.62949944
K2-198,17.0428683
2MASS J19383260+4603591,1460.0
Kepler-369,14.871572
TOI-1777,14.650111974
Kepler-1024,66.4162133
Kepler-253,10.281951
Kepler-171,11.463462
WASP-33,1.21987
TOI-4145 A,4.0664428
Kepler-709,16.08524954
TrES-4,3.55395
Kepler-1987,2.345863002
Kepler-366,3.281959
K2-155,40.718
Kepler-312,19.747412
Kepler-245,3.219821056
HD 102843,3090.942
Kepler-1066,1.931559839
HD 108874,1624.0
Kepler-49,18.596108
Kepler-52,36.445171
Kepler-562,18.009314436
Kepler-711,23.58914398
NY Vir,8799.0
Kepler-1371,2.00541269
Kepler-538,81.73778
WASP-4,1.338230994
GJ 508.2,5300.0
Kepler-108,190.323494
Kepler-392,5.341853
Kepler-946,11.79162572
Kepler-296,19.850291
Kepler-336,9.600001
Kepler-245,17.460812
Kepler-397,22.250949
Kepler-1046,14.37508035
Kepler-536,1.827082299
Kepler-379,62.784697
TOI-4329,2.9223
Kepler-306,4.646186
Kepler-121,3.177422
TOI-238,8.465651
TOI-5005,6.3085044
TOI-1452,11.06201
WASP-63,4.37808
Kepler-169,6.195469
Kepler-1395,3.78470649
Kepler-1197,2.03231845
Kepler-324,4.385315
Kepler-23,10.74
Kepler-37,21.301848
K2-165,14.101361
PSR J1719-1438,0.090706293
WASP-83,4.971252
GJ 687,727.562
Kepler-55,2.211099
HATS-11,3.619188
HD 199509,99.62167
WASP-154,3.811678
HD 16141,75.523
Kepler-1343,3.35183158
Kepler-81,20.837846
Kepler-531,29.88485741
Kepler-376,14.172327
TOI-199,104.854
HAT-P-6,3.85298
Kepler-1237,84.5733226
HD 110067,41.05854
Kepler-58,40.101371
Kepler-128,22.8
Kepler-1849,57.29290009
Kepler-316,6.827766
Kepler-54,20.995694
Kepler-1001,14.30511983
Kepler-192,9.926746
Kepler-1075,1.52372816
HD 190647,1176.45
Kepler-1376,5.30880656
Kepler-127,14.435889
K2-247,6.49424
Kepler-1917,12.90240002
Kepler-1146,2.352265797
Kepler-373,5.535309
Kepler-282,44.347
Kepler-1807,10.86060047
Kepler-1113,42.3004954
TOI-269,3.6977104
TOI-1823,38.8
Kepler-1540,125.4131177
K2-345,10.367437
TOI-2076,21.015327
Kepler-1907,14.86390018
Kepler-1969,6.647520065
TOI-5799,4.164663198
Kepler-1491,16.5861762
TOI-132,2.1097019
Kepler-115,2.403679
Kepler-158,28.551383
K2-80,28.867253
Kepler-116,5.968734
Kepler-1311,2.53573424
HATS-45,4.1876244
EPIC 228836835,0.728113
Kepler-251,16.514043
Kepler-195,34.096863
HD 135625,4055.0
TOI-451,16.364988
Kepler-1410,60.866168
TOI-5205,1.630757
HD 216520,35.45
Kepler-573,22.18329658
Kepler-1295,3.81371974
TOI-1860,1.0662107
K2-46,19.1541
Kepler-1980,33.0257179
Kepler-200,10.222157
TOI-500,26.233
Kepler-817,3.990106229
WASP-177,3.071722
Kepler-305,3.20538
HD 331093,621.62
TOI-5301,5.858858
Kepler-1121,13.15141081
WASP-38,6.87188
Kepler-124,13.821375
Kepler-446,1.565409
Kepler-1952,27.21080017
Kepler-916,32.2968798
Kepler-242,14.496481
HD 39194,5.6368
Kepler-1198,7.6847716
K2-289,13.156969
GJ 1002,10.3465
Kepler-657,24.54350418
TOI-2046,1.4971842
Kepler-315,265.469335
Kepler-359,77.095691
Kepler-341,27.666313
K2-320,1.995
Kepler-229,41.194912
TRAPPIST-1,12.352446
Kepler-65,2.15491
Kepler-1253,68.8861915
TOI-1693,1.7666957
